School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Oak Park,32.75,20.84,53.59,1,8,1
Principia,28.69,19.45,48.14,6,12,2
Chaminade College Prep,28.76,19.14,47.9,5,14,3
De Smet Jesuit,26.29,20.54,46.83,8,9,4
Staley,20.82,23.36,44.18,13,4,5
Kickapoo,16.83,27.05,43.87,44,1,6
Rockhurst,19.97,23.75,43.72,21,2,7
North Kansas City,25.8,16.89,42.68,9,22,8
Sikeston,30.88,11.39,42.28,3,73,9
Blue Springs South,20.8,21.02,41.82,14,7,10
Nixa,20.57,19.18,39.74,19,13,11
Logan-Rogersville,16.12,23.48,39.6,50,3,12
Montgomery County,20.58,18.01,38.59,17,18,13
John Burroughs,19.8,18.66,38.47,23,16,14
Park Hill,22.66,15.75,38.41,11,26,15
Benton,18.17,19.94,38.11,34,10,16
Webster Groves,25.04,12.0,37.04,10,61,17
Timberland,27.86,9.07,36.94,7,95,18
Vianney,31.03,5.24,36.27,2,144,19
Summit Christian Academy,18.71,17.51,36.22,32,19,20
Westminster Christian Academy,13.24,22.64,35.88,74,5,21
Lee's Summit North,20.74,14.55,35.29,16,35,22
Battle,30.5,4.68,35.18,4,154,23
Rock Bridge,19.12,14.9,34.02,30,30,24
Lee's Summit West,12.54,21.25,33.8,85,6,25
Lee's Summit,15.98,17.4,33.38,53,20,26
Central (Springfield),20.8,12.17,32.97,15,57,27
Liberty North,19.16,13.29,32.45,28,44,28
Raytown,19.26,13.14,32.39,27,46,29
Father Tolton,21.07,10.74,31.82,12,75,30
Winnetonka,19.65,11.45,31.1,24,71,31
Rolla,19.37,11.64,31.01,25,65,32
Republic,15.1,15.8,30.9,59,25,33
Grain Valley,16.1,14.68,30.78,51,32,34
Eugene,19.14,11.17,30.31,29,74,35
Mexico,17.81,12.43,30.24,35,55,36
Grandview,12.04,17.35,29.39,91,21,37
Helias Catholic,15.44,13.92,29.36,56,40,38
St. Michael the Archangel,16.31,12.9,29.22,48,50,39
Hazelwood East,20.57,8.12,28.69,18,105,40
Cardinal Ritter,12.08,16.44,28.52,90,23,41
East Buchanan,16.2,12.1,28.3,49,59,42
Blue Springs,15.22,12.97,28.19,57,48,43
Parkview,14.69,13.07,27.76,61,47,44
Marquette,18.5,9.05,27.56,33,96,45
Raymore-Peculiar,12.74,14.62,27.36,78,34,46
Pembroke Hill,14.46,12.69,27.15,63,54,47
Eureka,8.15,18.63,26.77,138,17,48
Park Hill South,15.08,11.6,26.68,60,66,49
Liberty,17.45,9.22,26.67,37,94,50
Ladue Horton Watkins,17.24,9.32,26.55,39,92,51
Hickman,16.88,9.61,26.49,42,87,52
University City,12.58,13.39,25.97,80,41,53
SLUH,12.55,13.36,25.92,84,42,54
Blair Oaks,11.08,14.67,25.76,102,33,55
Kearney,10.97,14.74,25.71,103,31,56
MICDS,13.82,11.76,25.58,67,63,57
Jefferson City,17.22,8.17,25.4,40,104,58
Liberty (Wentzville),10.41,14.94,25.34,109,29,59
McCluer North,12.94,12.16,25.1,76,58,60
St. Pius X (Kansas City),12.57,12.38,24.95,82,56,61
Farmington,16.84,8.07,24.91,43,106,62
Christian Brothers College,20.56,4.24,24.8,20,163,63
KIPP KC Legacy,10.53,14.24,24.77,108,37,64
Hazelwood Central,9.62,15.15,24.76,117,28,65
Green City,17.33,7.27,24.6,38,118,66
Waynesville,8.98,15.58,24.57,129,27,67
Hallsville,16.71,7.36,24.08,46,115,68
Ozark,12.57,11.49,24.07,81,69,69
Lindbergh,11.57,12.06,23.63,95,60,70
Parkway South,9.78,13.15,22.93,115,45,71
Lafayette (Wildwood),11.46,11.46,22.92,96,70,72
Ft. Zumwalt North,9.31,13.34,22.64,120,43,73
St. Dominic,9.09,12.96,22.05,127,49,74
Lafayette (St. Joseph),12.12,9.85,21.97,88,82,75
Orchard Farm,9.18,12.74,21.92,123,53,76
Kirkwood,12.09,9.57,21.65,89,88,77
Glendale,19.92,1.69,21.61,22,222,78
Hermann,2.27,19.08,21.36,210,15,79
Hillcrest,14.56,6.58,21.14,62,126,80
Hartville,1.37,19.69,21.06,227,11,81
Norwood,14.03,7.0,21.03,66,121,82
Central (St. Joseph),6.41,14.54,20.95,156,36,83
Mid-Buchanan,17.71,3.09,20.8,36,182,84
Osage,14.07,6.58,20.64,65,127,85
Branson,19.06,1.49,20.56,31,225,86
St. Francis Borgia,13.59,6.97,20.56,68,122,87
Forsyth,15.58,4.68,20.25,55,155,88
Jackson,9.86,10.27,20.13,114,78,89
Bishop LeBlond,8.45,11.69,20.13,135,64,90
Fair Grove,13.43,6.64,20.07,69,124,91
St. Charles,11.27,8.37,19.64,99,101,92
Holt,9.98,9.52,19.5,112,89,93
Bolivar,11.43,7.89,19.31,97,107,94
Seckman,7.61,11.59,19.19,142,67,95
Carthage,9.31,9.87,19.18,119,81,96
Carl Junction,16.02,3.13,19.15,52,180,97
Clayton,15.64,3.51,19.15,54,175,98
Miller Career Academy,16.9,2.12,19.03,41,211,99
Chadwick,7.26,11.4,18.66,146,72,100
Fort Osage,16.77,1.74,18.52,45,221,101
Puxico,10.71,7.75,18.46,107,108,102
Belton,13.33,4.97,18.3,71,150,103
Center,2.16,16.07,18.23,213,24,104
North Platte,11.17,6.92,18.08,100,123,105
Harrisburg,13.37,4.65,18.02,70,156,106
Southern Boone,13.22,4.45,17.67,75,158,107
Brunswick,7.71,9.65,17.37,140,85,108
Francis Howell,10.08,7.3,17.37,110,117,109
Richmond,12.9,4.43,17.32,77,160,110
Pattonville,7.82,9.47,17.29,139,90,111
Central (Cape Girardeau),2.86,13.99,16.84,203,39,112
Aurora,19.28,-2.56,16.71,26,299,113
Parkway North,10.02,6.15,16.17,111,132,114
Lutheran South,12.02,3.94,15.95,92,170,115
Canton,11.42,4.44,15.86,98,159,116
Fatima,3.03,12.79,15.82,199,52,117
Lincoln College Prep,7.0,8.72,15.72,148,97,118
Chillicothe,1.25,14.07,15.33,232,38,119
Francis Howell Central,11.84,3.38,15.22,93,176,120
Greenwood,9.7,5.45,15.15,116,142,121
Platte County,9.26,5.56,14.82,122,140,122
Raytown South,1.99,12.79,14.78,217,51,123
Monroe City,4.74,9.98,14.71,175,79,124
Oakville,9.07,5.21,14.28,128,145,125
Dixon,9.9,4.3,14.2,113,162,126
Potosi,10.83,3.13,13.95,106,181,127
Ritenour,5.33,8.55,13.88,166,98,128
Washington,3.87,9.69,13.56,190,84,129
Lift for Life Academy Charter,11.65,1.89,13.54,94,218,130
Lafayette County,9.15,4.4,13.54,124,161,131
Confluence Prep Academy Charter,15.17,-1.72,13.45,58,288,132
Notre Dame (Cape Girardeau),3.94,9.43,13.37,188,91,133
Nevada,1.82,11.55,13.37,219,68,134
Ft. Zumwalt West,8.6,4.68,13.28,132,153,135
Maryville,4.76,8.5,13.27,174,99,136
Woodland,16.39,-3.13,13.26,47,308,137
Ft. Zumwalt South,1.36,11.86,13.22,228,62,138
Lutheran North,2.8,10.28,13.09,204,77,139
Whitfield,8.17,4.88,13.06,137,152,140
Palmyra,6.06,6.48,12.54,158,131,141
Lexington,9.6,2.93,12.53,118,188,142
Ewing Marion Kauffman,7.32,5.11,12.43,145,149,143
Kirksville,4.15,8.28,12.43,183,103,144
Central (Kansas City),10.89,1.51,12.4,105,224,145
Savannah,7.21,4.91,12.12,147,151,146
Capital City,4.1,7.54,11.64,184,111,147
Ruskin,13.25,-1.67,11.58,73,286,148
Boonville,4.88,6.57,11.45,173,128,149
Rock Port,8.59,2.79,11.39,133,193,150
East Prairie,14.14,-2.84,11.31,64,304,151
Riverview Gardens,1.35,9.9,11.25,230,80,152
Maysville,4.05,7.06,11.11,185,119,153
Atlanta,6.71,4.21,10.92,149,165,154
Charleston,12.25,-1.44,10.8,86,277,155
Neosho,8.5,2.08,10.57,134,214,156
St. Charles West,0.7,9.63,10.33,244,86,157
Bowling Green,4.26,5.18,9.44,181,146,158
Harrisonville,4.27,5.15,9.43,180,148,159
Clopton,8.96,0.41,9.38,130,246,160
Centralia,5.58,3.69,9.27,164,173,161
Seneca,5.78,3.23,9.01,163,177,162
Hillsboro,3.38,5.47,8.85,195,141,163
Winona,1.26,7.51,8.77,231,112,164
West Nodaway with Nodaway-Holt,0.33,8.42,8.75,248,100,165
California,-0.99,9.72,8.74,267,83,166
