School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Eugene,19.14,11.17,30.31,1,2,1
Hartville,1.37,19.69,21.06,24,1,2
Norwood,14.03,7.0,21.03,2,9,3
Puxico,10.71,7.75,18.46,8,6,4
Harrisburg,13.37,4.65,18.02,3,14,5
Canton,11.42,4.44,15.86,7,15,6
Maysville,4.05,7.06,11.11,14,8,7
Charleston,12.25,-1.44,10.8,5,38,8
Clopton,8.96,0.41,9.38,9,32,9
Winona,1.26,7.51,8.77,25,7,10
West Nodaway with Nodaway-Holt,0.33,8.42,8.75,32,4,11
Princeton,3.27,5.34,8.61,19,13,12
Gallatin,0.03,8.34,8.37,34,5,13
Van-Far,7.33,0.6,7.92,11,31,14
Hayti,12.57,-4.73,7.84,4,54,15
Glasgow,2.61,4.15,6.76,22,16,16
Van Buren,12.24,-6.58,5.66,6,61,17
Bakersfield,-0.98,6.54,5.56,36,10,18
Westran,5.82,-0.41,5.41,13,36,19
Tarkio with Fairfax,3.64,-0.06,3.58,18,34,20
Crocker,1.23,2.12,3.35,26,26,21
Lincoln,-6.51,9.29,2.77,59,3,22
Campbell,3.96,-1.45,2.51,15,40,23
Polo,0.56,1.65,2.21,30,27,24
Crest Ridge,-2.05,4.09,2.04,42,17,25
St. Paul Lutheran (Concordia),-1.71,3.71,2.0,39,18,26
Stewartsville with Osborn,1.1,0.73,1.83,27,30,27
Rich Hill,-0.34,2.15,1.81,35,25,28
Summersville,8.38,-6.6,1.78,10,62,29
Mansfield,3.92,-2.16,1.77,16,43,30
Schuyler County,-1.25,2.56,1.32,38,21,31
New Franklin,-4.54,5.59,1.05,53,12,32
Putnam County,5.83,-4.91,0.92,12,57,33
Crane,-2.51,2.85,0.34,47,20,34
Bernie,0.41,-0.18,0.23,31,35,35
St. Joseph Christian,3.79,-4.19,-0.41,17,52,36
Neelyville,-1.72,1.28,-0.44,40,28,37
Penney,-2.11,1.12,-1.0,43,29,38
Slater,2.74,-4.81,-2.06,21,56,39
Senath-Hornersville,0.72,-3.42,-2.7,29,48,40
Osceola,-5.18,2.44,-2.74,55,23,41
Galena,3.13,-6.05,-2.92,20,58,42
Gainesville,-1.11,-2.72,-3.84,37,46,43
Blue Eye,-10.64,5.98,-4.65,73,11,44
Plattsburg,-3.8,-2.13,-5.94,51,41,45
Valley,-2.44,-4.4,-6.84,46,53,46
Plato,-10.49,3.05,-7.44,72,19,47
Chaffee,-9.96,2.52,-7.44,69,22,48
Tipton,-4.42,-3.6,-8.01,52,50,49
St. Vincent,-2.31,-7.32,-9.63,44,64,50
Weaubleau,-7.38,-2.59,-9.97,62,44,51
Purdy,0.31,-10.42,-10.11,33,80,52
Brentwood,-7.36,-3.2,-10.57,61,47,53
Smithton,0.99,-11.79,-10.8,28,83,54
Wellington-Napoleon,-8.56,-2.59,-11.15,66,45,55
East Carter,-9.87,-1.45,-11.32,67,39,56
Meadow Heights,-2.36,-8.96,-11.32,45,75,57
Albany,-13.81,2.39,-11.42,85,24,58
Vienna,-10.43,-2.14,-12.58,70,42,59
Pleasant Hope,-5.4,-8.15,-13.56,57,68,60
Oran,-5.23,-8.43,-13.66,56,70,61
Northwest (Hughesville),-13.14,-1.07,-14.21,80,37,62
Veritas Christian Academy,-5.07,-9.29,-14.36,54,76,63
Alton,-2.76,-11.9,-14.65,49,85,64
Bloomfield,-15.06,0.24,-14.82,88,33,65
Louisiana,-7.03,-8.0,-15.03,60,66,66
Northland Christian,-6.5,-8.62,-15.12,58,71,67
Newburg,-2.94,-12.36,-15.3,50,87,68
Thomas Jefferson Independent Day,-7.85,-8.09,-15.94,64,67,69
Concordia,-12.09,-4.12,-16.21,76,51,70
New Covenant Academy,2.06,-18.3,-16.24,23,96,71
Advance,-7.65,-8.82,-16.47,63,74,72
Fordland,-2.72,-14.19,-16.91,48,91,73
Appleton City,-13.17,-4.75,-17.92,81,55,74
Knox County,-12.49,-6.05,-18.53,77,59,75
Fayette,-8.34,-10.71,-19.05,65,81,76
Ellington,-1.98,-17.68,-19.65,41,95,77
Gloria Deo Academy,-13.18,-6.94,-20.12,82,63,78
La Plata,-12.93,-8.62,-21.55,79,72,79
Lakeland,-10.75,-11.18,-21.93,74,82,80
Marion C. Early,-13.8,-8.33,-22.13,84,69,81
Archie,-10.43,-11.88,-22.32,71,84,82
Marceline,-14.77,-7.58,-22.35,86,65,83
Dora,-13.28,-9.37,-22.65,83,77,84
Malden,-9.94,-12.73,-22.67,68,88,85
Milan,-19.41,-3.54,-22.95,95,49,86
Midway,-18.52,-6.55,-25.07,94,60,87
Greenfield,-12.76,-13.74,-26.51,78,89,88
Sweet Springs,-11.35,-15.35,-26.7,75,92,89
DeLaSalle Charter (KC),-14.96,-12.26,-27.22,87,86,90
New Haven,-18.48,-8.81,-27.29,93,73,91
South Pemiscot,-18.47,-10.41,-28.88,92,79,92
Bismarck,-16.73,-14.01,-30.74,90,90,93
Jasper,-20.97,-9.88,-30.85,96,78,94
Crystal City,-15.84,-15.53,-31.37,89,93,95
Frontier School of Excellence Charter,-25.85,-16.86,-42.71,98,94,96
Wheaton,-17.76,-25.99,-43.75,91,101,97
Exeter,-26.51,-18.73,-45.24,100,97,98
Richland,-26.36,-19.85,-46.21,99,98,99
Holcomb,-23.91,-23.1,-47.01,97,100,100
Verona,-30.16,-20.72,-50.88,101,99,101
