Date,Home Team,Home Score,Away Team,Away Score
2024-11-21,Center,37,KIPP KC Legacy,49
2024-11-22,Greenville,34,Bloomfield,39
2024-11-22,Bismarck,63,Bourbon,57
2024-11-22,Bakersfield,86,Bradleyville,30
2024-11-22,Westran,60,Brookfield,36
2024-11-22,New Franklin,54,Brunswick,40
2024-11-22,La Monte,43,Chilhowee,39
2024-11-22,Tuscumbia,39,Climax Springs,70
2024-11-22,South Callaway,44,Dadeville,61
2024-11-22,Delta,78,Delta (Deering),56
2024-11-22,Salem,50,Dixon,62
2024-11-22,Tuscumbia,63,Exeter,26
2024-11-22,Versailles,40,Fatima,71
2024-11-22,Crest Ridge,62,Green Ridge,57
2024-11-22,Novinger,50,Grundy County with Newtown-Harris,54
2024-11-22,Savannah,68,Harrisonville,51
2024-11-22,St. James,45,Hermann,41
2024-11-22,Ft. Zumwalt East,53,Holt,66
2024-11-22,Sarcoxie,88,Jamestown,60
2024-11-22,Wheaton,37,Jasper,60
2024-11-22,John Burroughs,57,Ladue Horton Watkins,72
2024-11-22,Gallatin,56,Lathrop,46
2024-11-22,Sacred Heart,62,Leeton,46
2024-11-22,Sweet Springs,32,Marshall,64
2024-11-22,Glasgow,62,Meadville,45
2024-11-22,Hollister,37,Miller,61
2024-11-22,Gloria Deo Academy,54,New Covenant Academy,62
2024-11-22,Halfway,85,Niangua,27
2024-11-22,St. Paul Lutheran (Farmington),35,North County,99
2024-11-22,Francis Howell,66,North Point,55
2024-11-22,University Academy Charter,57,Northeast (Kansas City),27
2024-11-22,DeSoto,40,Northwest (Cedar Hill),46
2024-11-22,Scott County Central,23,Northwest (Hughesville),66
2024-11-22,Dora,28,Norwood,72
2024-11-22,Northwestern (Mendon),33,Orrick,27
2024-11-22,Clopton,58,Palmyra,74
2024-11-22,Hardin-Central,33,Polo,68
2024-11-22,Lincoln College Prep,56,Raytown South,51
2024-11-22,Vienna,59,Richland,41
2024-11-22,Chadwick,65,Rolla,72
2024-11-22,Greenfield,37,Sarcoxie,56
2024-11-22,Humansville,47,School of the Ozarks,37
2024-11-22,Spokane,54,Smithville,73
2024-11-22,Missouri Military Academy,44,South Pemiscot,46
2024-11-22,Prairie Home,68,Salem,57
2024-11-22,Linn,41,Van-Far,71
2024-11-22,St. Pius X (Festus),34,Webster Groves,86
2024-11-22,Versailles,51,St. Pius X (Kansas City),55
2024-11-22,Cardinal Ritter,55,University City,45
2024-11-22,Clearwater,45,Valley,72
2024-11-22,Saxony Lutheran,43,West County,63
2024-11-23,Fordland,26,Blue Eye,56
2024-11-23,Plato,36,Bunker,70
2024-11-23,Community,38,Chamois,68
2024-11-23,Crocker,61,Faith Christian Academy,69
2024-11-23,Mexico,62,Hickman,69
2024-11-23,Wheaton,37,Jasper,60
2024-11-23,North Callaway,53,Macon,31
2024-11-23,KIPP St. Louis Sr.,68,McKinley Classical Leadership,66
2024-11-23,Soldan International Studies,28,Normandy Collaborative,60
2024-11-23,Macks Creek,31,Owensville,70
2024-11-23,Verona,23,Pleasant Hope,72
2024-11-23,Hurley,44,Purdy,71
2024-11-23,Lutheran St. Charles,62,Webster Groves,83
2024-11-23,Lift for Life Academy Charter,55,University City,57
2024-11-23,Calvary Lutheran,33,Van-Far,40
2024-11-23,West Plains,31,Waynesville,60
2024-11-23,Elsberry,44,Winfield,46
2024-11-24,Ewing Marion Kauffman,53,Miller Career Academy,64
